Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),surface_area_km2,Latitude,Longitude
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202826,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202815,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202833,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202904,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202901,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202902,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202898,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202910,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202899,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202908,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202973,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202978,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202988,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202980,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202965,53,28
Belarus,2022,16.8,24.5,47,9.54,5.14,4.39,85.3,202950,53,28
Belgium,2010,16.9,23.1,359.3,10.88,5.55,5.33,96.2,30280,50.83,4
Belgium,2015,17,24.1,371.5,11.25,5.72,5.53,96.8,30280,50.83,4
Belgium,2021,16.7,25.8,383.5,11.61,5.88,5.73,97.6,30280,50.83,4
Belgium,2022,16.5,26.2,385,11.66,5.9,5.76,97.7,30280,50.83,4
Belize,2010,35.5,5.9,14.1,0.32,0.16,0.16,100.2,22810,17.25,-88.75
Belize,2015,31.8,6.6,15.8,0.36,0.18,0.18,101.2,22810,17.25,-88.75
Belize,2021,28.2,7.7,17.5,0.4,0.2,0.2,101.2,22810,17.25,-88.75
Belize,2022,27.7,8,17.8,0.41,0.2,0.2,101.1,22810,17.25,-88.75
Benin,2010,43.7,4.8,83.8,9.45,4.74,4.71,99.3,112760,9.5,2.25
Benin,2015,43.2,4.8,97,10.93,5.47,5.46,99.9,112760,9.5,2.25
Benin,2021,42.6,4.9,115.3,13,6.49,6.51,100.3,112760,9.5,2.25
Benin,2022,42.4,4.9,118.4,13.35,6.66,6.69,100.4,112760,9.5,2.25
Bermuda,2010,16.2,19,,0.06,0.03,0.03,94.7,54,32.33,-64.75
Bermuda,2015,15.1,22.6,,0.06,0.03,0.03,94.7,54,32.33,-64.75
Bermuda,2021,14.9,27.7,,0.06,0.03,0.03,93.2,54,32.33,-64.75
Bermuda,2022,14.7,28.6,,0.06,0.03,0.03,93,54,32.33,-64.75
Bhutan,2010,29.6,7.5,18.4,0.71,0.33,0.38,113.8,46723,27.5,90.5
Bhutan,2010,29.6,7.5,18.4,0.71,0.33,0.38,113.8,39800,27.5,90.5
Bhutan,2010,29.6,7.5,18.4,0.71,0.33,0.38,113.8,38117,27.5,90.5
Bhutan,2010,29.6,7.5,18.4,0.71,0.33,0.38,113.8,38144,27.5,90.5
Bhutan,2010,29.6,7.5,18.4,0.71,0.33,0.38,113.8,38140,27.5,90.5
Bhutan,2015,27,8.3,19.4,0.74,0.35,0.4,113.5,46723,27.5,90.5
Bhutan,2015,27,8.3,19.4,0.74,0.35,0.4,113.5,39800,27.5,90.5
Bhutan,2015,27,8.3,19.4,0.74,0.35,0.4,113.5,38117,27.5,90.5
Bhutan,2015,27,8.3,19.4,0.74,0.35,0.4,113.5,38144,27.5,90.5
Bhutan,2015,27,8.3,19.4,0.74,0.35,0.4,113.5,38140,27.5,90.5
Bhutan,2021,22.8,9.1,20.3,0.78,0.37,0.41,112.5,46723,27.5,90.5
Bhutan,2021,22.8,9.1,20.3,0.78,0.37,0.41,112.5,39800,27.5,90.5
Bhutan,2021,22.8,9.1,20.3,0.78,0.37,0.41,112.5,38117,27.5,90.5
Bhutan,2021,22.8,9.1,20.3,0.78,0.37,0.41,112.5,38144,27.5,90.5
Bhutan,2021,22.8,9.1,20.3,0.78,0.37,0.41,112.5,38140,27.5,90.5
Bhutan,2022,22.1,9.3,20.4,0.78,0.37,0.41,112.3,46723,27.5,90.5
Bhutan,2022,22.1,9.3,20.4,0.78,0.37,0.41,112.3,39800,27.5,90.5
Bhutan,2022,22.1,9.3,20.4,0.78,0.37,0.41,112.3,38117,27.5,90.5
Bhutan,2022,22.1,9.3,20.4,0.78,0.37,0.41,112.3,38144,27.5,90.5
Bhutan,2022,22.1,9.3,20.4,0.78,0.37,0.41,112.3,38140,27.5,90.5
Bolivia,2010,34.8,7.2,9.4,10.22,5.07,5.15,101.6,1083300,-17,-65
Bolivia,2015,33.1,7.3,10.2,11.09,5.51,5.58,101.2,1083300,-17,-65
Bolivia,2021,31.1,7.6,11.2,12.08,6.02,6.06,100.6,1083300,-17,-65
Bolivia,2022,30.8,7.6,11.3,12.22,6.1,6.13,100.5,1083300,-17,-65
"Bonaire, St. Eustatius & Saba",2010,18.9,13.9,61.7,0.02,0.01,0.01,113,,,
"Bonaire, St. Eustatius & Saba",2015,17.5,16.4,70.6,0.02,0.01,0.01,110.1,,,
"Bonaire, St. Eustatius & Saba",2022,16.8,21.1,82.4,0.03,0.01,0.01,104.8,,,
Bosnia and Herzegovina,2010,15.9,19.5,74.4,3.81,1.95,1.86,95.3,51200,44,18
Bosnia and Herzegovina,2015,15.1,21.9,68.8,3.52,1.8,1.72,95.9,51200,44,18
Bosnia and Herzegovina,2021,14.9,25.4,63.9,3.27,1.66,1.61,97,51200,44,18
Bosnia and Herzegovina,2022,14.9,25.8,63.2,3.23,1.64,1.59,97,51200,44,18
Botswana,2010,34.8,4.8,3.7,2.09,1.06,1.03,96.6,566730,-22,24
Botswana,2015,34.2,5.1,4.1,2.31,1.17,1.13,97,566730,-22,24
Botswana,2021,32.9,5.8,4.6,2.59,1.31,1.28,97.5,566730,-22,24
Botswana,2022,32.6,5.9,4.6,2.63,1.33,1.3,97.5,566730,-22,24
Brazil,2010,24.8,10.3,23.5,196.35,99.55,96.81,97.2,8358140,-10,-55
Brazil,2015,22.5,11.9,24.6,205.19,104.18,101.01,97,8358140,-10,-55
Brazil,2021,20.5,14.2,25.6,214.33,109.03,105.29,96.6,8358140,-10,-55
Brazil,2022,20.3,14.6,25.8,215.31,109.58,105.73,96.5,8358140,-10,-55
British Virgin Islands,2010,22.1,9.5,178.9,0.03,0.01,0.01,96.8,150,,
British Virgin Islands,2015,19.1,11.6,190.7,0.03,0.02,0.01,95,150,,
British Virgin Islands,2021,15.2,15.3,202.1,0.03,0.02,0.02,92.7,150,,
British Virgin Islands,2022,14.5,16.1,203.3,0.03,0.02,0.02,92.7,150,,
Brunei Darussalam,2010,26,5.5,68.7,0.4,0.19,0.21,108.4,,4.5,114.67
Brunei Darussalam,2015,24.2,7,73.1,0.42,0.2,0.22,107.8,,4.5,114.67
Brunei Darussalam,2021,22.3,9.9,77.3,0.45,0.21,0.23,107.2,,4.5,114.67
Brunei Darussalam,2022,22.1,10.4,77.9,0.45,0.22,0.23,107.1,,4.5,114.67
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,110630,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108800,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108770,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108760,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108640,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108630,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108610,43,25
Bulgaria,2010,13.7,25.4,70,7.59,3.92,3.67,93.6,108560,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,110630,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108800,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108770,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108760,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108640,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108630,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108610,43,25
Bulgaria,2015,14.1,27.4,67.4,7.31,3.77,3.54,94,108560,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,110630,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108800,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108770,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108760,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108640,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108630,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108610,43,25
Bulgaria,2021,14,29.3,63.5,6.89,3.55,3.34,94.2,108560,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,110630,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108800,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108770,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108760,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108640,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108630,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108610,43,25
Bulgaria,2022,14,29.2,62.6,6.78,3.49,3.29,94.1,108560,43,25
Burkina Faso,2010,45.6,4.2,58.9,16.12,8.12,8,98.5,273600,13,-2
Burkina Faso,2015,45.6,4.1,68.4,18.72,9.41,9.31,98.9,273600,13,-2
Burkina Faso,2021,44.1,4.1,80.8,22.1,11.09,11.01,99.3,273600,13,-2
Burkina Faso,2022,43.7,4.1,82.9,22.67,11.37,11.3,99.3,273600,13,-2
Burundi,2010,44.9,3.7,351.7,9.13,4.61,4.52,97.9,25680,-3.5,30
Burundi,2015,46.8,3.8,413.4,10.73,5.41,5.32,98.4,25680,-3.5,30
Burundi,2021,46.3,3.9,483.7,12.55,6.32,6.23,98.6,25680,-3.5,30
Burundi,2022,45.8,3.8,496.7,12.89,6.49,6.4,98.6,25680,-3.5,30
Cabo Verde,2010,32,7.6,129.3,0.52,0.26,0.26,99.2,,,
Cabo Verde,2015,29.1,7.4,137,0.55,0.28,0.27,99,,,
Cabo Verde,2021,26.6,8.5,145.9,0.59,0.3,0.29,98.9,,,
Cabo Verde,2022,26.2,8.7,147.2,0.59,0.3,0.29,98.9,,,
Cambodia,2010,32.1,5.7,79.3,14.36,7.26,7.1,97.9,176520,13,105
Cambodia,2015,30.9,7,85.2,15.42,7.79,7.63,98,176520,13,105
Cambodia,2021,29.3,9.3,91.6,16.59,8.38,8.21,98,176520,13,105
Cambodia,2022,28.9,9.7,92.6,16.77,8.47,8.3,98,176520,13,105
Cameroon,2010,43.8,4.5,42.7,19.88,9.99,9.89,99,472710,6,12
Cameroon,2015,43.3,4.3,49.4,23.01,11.55,11.46,99.3,472710,6,12
Cameroon,2021,42.4,4.2,58.4,27.2,13.63,13.56,99.5,472710,6,12
Cameroon,2022,42.2,4.2,59.9,27.91,13.99,13.92,99.5,472710,6,12
Canada,2010,16.6,19.9,3.7,33.96,17.13,16.83,98.3,8965590,60,-95
Canada,2010,16.6,19.9,3.7,33.96,17.13,16.83,98.3,8788700,60,-95
Canada,2015,16.2,22.3,3.9,35.73,18,17.73,98.5,8965590,60,-95
Canada,2015,16.2,22.3,3.9,35.73,18,17.73,98.5,8788700,60,-95
Canada,2021,15.7,25.3,4.2,38.16,19.2,18.96,98.8,8965590,60,-95
Canada,2021,15.7,25.3,4.2,38.16,19.2,18.96,98.8,8788700,60,-95
Canada,2022,15.6,25.9,4.2,38.45,19.34,19.11,98.8,8965590,60,-95
Canada,2022,15.6,25.9,4.2,38.45,19.34,19.11,98.8,8788700,60,-95
Cayman Islands,2010,18.3,8.5,224.4,0.05,0.03,0.03,98.2,240,19.5,-80.5
Cayman Islands,2015,17.5,10,252.7,0.06,0.03,0.03,100.8,240,19.5,-80.5
Cayman Islands,2021,16.8,12.5,282.7,0.07,0.03,0.03,102,240,19.5,-80.5
Cayman Islands,2022,16.8,13.1,285.1,0.07,0.03,0.03,101.9,240,19.5,-80.5
Central African Republic,2010,46,3.5,7.5,4.66,2.32,2.34,100.6,622980,7,21
Central African Republic,2015,48.8,3.9,7.7,4.82,2.41,2.41,100.3,622980,7,21
Central African Republic,2021,48.2,4.1,8.8,5.46,2.73,2.73,100,622980,7,21
Central African Republic,2022,48.1,4.1,9,5.58,2.79,2.79,99.9,622980,7,21
Chad,2010,48.6,3.4,9.4,11.89,5.94,5.96,100.4,1260000,15,19
Chad,2010,48.6,3.4,9.4,11.89,5.94,5.96,100.4,1259600,15,19
Chad,2010,48.6,3.4,9.4,11.89,5.94,5.96,100.4,1259200,15,19
Chad,2015,48.4,3.3,11.2,14.14,7.05,7.09,100.7,1260000,15,19
Chad,2015,48.4,3.3,11.2,14.14,7.05,7.09,100.7,1259600,15,19
Chad,2015,48.4,3.3,11.2,14.14,7.05,7.09,100.7,1259200,15,19
Chad,2021,47.7,3.4,13.6,17.18,8.56,8.62,100.8,1260000,15,19
Chad,2021,47.7,3.4,13.6,17.18,8.56,8.62,100.8,1259600,15,19
Chad,2021,47.7,3.4,13.6,17.18,8.56,8.62,100.8,1259200,15,19
Chad,2022,47.5,3.4,14.1,17.72,8.83,8.9,100.8,1260000,15,19
Chad,2022,47.5,3.4,14.1,17.72,8.83,8.9,100.8,1259600,15,19
Chad,2022,47.5,3.4,14.1,17.72,8.83,8.9,100.8,1259200,15,19
Chile,2010,21.5,13.9,22.6,17,8.57,8.44,98.5,743532,-30,-71
Chile,2015,20,15.8,23.7,17.87,9,8.87,98.5,743532,-30,-71
Chile,2021,18.5,17.8,25.9,19.49,9.82,9.68,98.5,743532,-30,-71
Chile,2022,18.3,18.3,26,19.6,9.87,9.73,98.5,743532,-30,-71
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388250,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388240,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388230,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388220,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388214,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388213,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388212,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388211,35,105
China,2010,18.5,12.8,140.4,1338,658.11,690.08,104.9,9388210,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388250,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388240,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388230,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388220,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388214,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388213,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388212,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388211,35,105
China,2015,18.4,15.6,145.2,1380,680.46,713.26,104.8,9388210,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388250,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388240,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388230,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388220,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388214,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388213,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388212,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388211,35,105
China,2021,17.7,18.1,148.5,1412,697.84,728.05,104.3,9388210,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388250,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388240,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388230,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388220,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388214,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388213,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388212,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388211,35,105
China,2022,17.2,18.6,148.5,1412,698.24,727.64,104.2,9388210,35,105
"China, Hong Kong SAR",2010,12.3,18.5,,7.13,3.78,3.36,88.9,,,
"China, Hong Kong SAR",2015,11.6,21.9,,7.4,3.97,3.43,86.2,,,
"China, Hong Kong SAR",2021,12.2,27.7,,7.49,4.04,3.46,85.6,,,
"China, Hong Kong SAR",2022,12,28.7,,7.49,4.04,3.45,85.4,,,
"China, Macao SAR",2010,12.9,11.3,,0.56,0.29,0.27,92.2,,,
"China, Macao SAR",2015,12.9,14.5,,0.62,0.32,0.29,90.4,,,
"China, Macao SAR",2021,14.6,18.6,,0.69,0.36,0.32,88.5,,,
"China, Macao SAR",2022,14.8,19.5,,0.7,0.37,0.33,88.4,,,
Colombia,2010,27.1,9,39.9,44.82,22.65,22.17,97.9,1109500,4,-72
Colombia,2015,24.4,10.8,41.9,47.12,23.85,23.27,97.6,1109500,4,-72
Colombia,2021,21.6,13.1,45.8,51.52,26.1,25.42,97.4,1109500,4,-72
Colombia,2022,21.3,13.5,46.2,51.87,26.3,25.58,97.3,1109500,4,-72
Comoros,2010,42,6,352.5,0.66,0.33,0.33,100,1861,-12.17,44.25
Comoros,2015,39.8,6.2,392.4,0.73,0.36,0.37,100.5,1861,-12.17,44.25
Comoros,2021,38.3,6.5,441.5,0.82,0.41,0.41,100.9,1861,-12.17,44.25
Comoros,2022,38,6.5,449.6,0.84,0.42,0.42,100.9,1861,-12.17,44.25
Congo,2010,40.6,4.1,13,4.44,2.23,2.21,99.3,341500,-1,15
Congo,2015,42,4.1,14.8,5.06,2.54,2.53,99.6,341500,-1,15
Congo,2021,41.4,4.5,17.1,5.84,2.92,2.91,99.8,341500,-1,15
Congo,2022,41.1,4.6,17.5,5.97,2.99,2.98,99.8,341500,-1,15
Cook Islands,2010,28.1,12.1,71.7,0.02,0.01,0.01,98.8,,-21.23,-159.77
Cook Islands,2015,26.2,14,73.7,0.02,0.01,0.01,95.2,,-21.23,-159.77
Cook Islands,2021,23.7,16.8,70.8,0.02,0.01,0.01,91.2,,-21.23,-159.77
Cook Islands,2022,23.6,17.5,70.9,0.02,0.01,0.01,90.8,,-21.23,-159.77
Costa Rica,2010,24.7,10.9,90.5,4.62,2.3,2.32,100.9,51060,10,-84
Costa Rica,2015,22.6,12.7,95.9,4.9,2.44,2.46,100.6,51060,10,-84
Costa Rica,2021,20.5,15.4,100.9,5.15,2.58,2.58,100.1,51060,10,-84
Costa Rica,2022,20.2,15.8,101.5,5.18,2.59,2.59,100,51060,10,-84
Croatia,2010,15.3,23.8,78.2,4.37,2.27,2.1,92.8,55910,45.17,15.5
Croatia,2010,15.3,23.8,78.2,4.37,2.27,2.1,92.8,55980,45.17,15.5
Croatia,2010,15.3,23.8,78.2,4.37,2.27,2.1,92.8,55912,45.17,15.5
Croatia,2010,15.3,23.8,78.2,4.37,2.27,2.1,92.8,55964,45.17,15.5
Croatia,2010,15.3,23.8,78.2,4.37,2.27,2.1,92.8,55960,45.17,15.5
Croatia,2015,14.4,26.3,76.1,4.25,2.2,2.06,93.7,55910,45.17,15.5
Croatia,2015,14.4,26.3,76.1,4.25,2.2,2.06,93.7,55980,45.17,15.5
Croatia,2015,14.4,26.3,76.1,4.25,2.2,2.06,93.7,55912,45.17,15.5
Croatia,2015,14.4,26.3,76.1,4.25,2.2,2.06,93.7,55964,45.17,15.5
Croatia,2015,14.4,26.3,76.1,4.25,2.2,2.06,93.7,55960,45.17,15.5
Croatia,2021,14.1,29.2,72.6,4.06,2.08,1.98,94.9,55910,45.17,15.5
Croatia,2021,14.1,29.2,72.6,4.06,2.08,1.98,94.9,55980,45.17,15.5
Croatia,2021,14.1,29.2,72.6,4.06,2.08,1.98,94.9,55912,45.17,15.5
Croatia,2021,14.1,29.2,72.6,4.06,2.08,1.98,94.9,55964,45.17,15.5
Croatia,2021,14.1,29.2,72.6,4.06,2.08,1.98,94.9,55960,45.17,15.5
Croatia,2022,14.1,29.6,72.1,4.03,2.07,1.96,95,55910,45.17,15.5
Croatia,2022,14.1,29.6,72.1,4.03,2.07,1.96,95,55980,45.17,15.5
Croatia,2022,14.1,29.6,72.1,4.03,2.07,1.96,95,55912,45.17,15.5
Croatia,2022,14.1,29.6,72.1,4.03,2.07,1.96,95,55964,45.17,15.5
Croatia,2022,14.1,29.6,72.1,4.03,2.07,1.96,95,55960,45.17,15.5
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,107400,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106390,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106400,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106410,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106440,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106430,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106863,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,106649,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,104220,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,104020,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,104100,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,104040,21.5,-80
Cuba,2010,17.7,17.6,105.8,11.29,5.65,5.64,99.7,103800,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,107400,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106390,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106400,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106410,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106440,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106430,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106863,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,106649,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,104220,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,104020,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,104100,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,104040,21.5,-80
Cuba,2015,16.7,19.3,106.2,11.34,5.69,5.65,99.4,103800,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,107400,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106390,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106400,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106410,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106440,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106430,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106863,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,106649,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,104220,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,104020,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,104100,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,104040,21.5,-80
Cuba,2021,15.8,21.4,105.4,11.26,5.67,5.59,98.6,103800,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,107400,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106390,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106400,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106410,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106440,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106430,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106863,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,106649,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,104220,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,104020,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,104100,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,104040,21.5,-80
Cuba,2022,15.7,22,105,11.21,5.65,5.56,98.5,103800,21.5,-80
Curaçao,2010,22.1,17.3,375.9,0.16,0.09,0.07,84.6,,,
Curaçao,2015,20.8,19.5,399.9,0.17,0.09,0.08,85.7,,,
Curaçao,2021,17.4,21,448.9,0.19,0.1,0.09,92,,,
Curaçao,2022,17.2,21.4,450.9,0.19,0.1,0.09,92.1,,,
Cyprus,2010,17,15.9,122.3,1.13,0.56,0.57,100.6,9240,35,33
Cyprus,2015,16.1,17.6,128.5,1.19,0.59,0.59,100.4,9240,35,33
Cyprus,2021,16,20,134.7,1.24,0.62,0.62,100.3,9240,35,33
Cyprus,2022,15.9,20.4,135.4,1.25,0.62,0.63,100.3,9240,35,33
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77270,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77260,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77250,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77240,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77230,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77220,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77210,,
Czechia,2010,14.4,22.5,135.5,10.46,5.33,5.13,96.3,77205.5,,
